smiles	Hansch pi	Hammett sigma p
[R]COC(C)=O	-0.113	0.053
[R]OCCN(C)C	-0.034	-0.299
[R]Nc1cc(C)on1	0.23	-0.318
[R]C1=NCCN1	-0.387	0.249
[R]CSc1ccccc1	2.16	0.064
[R]n1nc(C)cc1C	0.202	0.059
[R]CC(N)C(O)=O	-0.601	-0.095
[R]NCc1ccncc1	0.135	-0.56
[R]n1cccc1	0.245	-0.008
[R]C(=O)C(O)=O	0.466	0.747
[R]Cc1ccc(C(O)=O)cc1	2.072	-0.03
[R]C1CCS(=O)(=O)C1	-0.298	0.078
[R]CC(O)CO	-0.363	-0.098
[R]NC1CCOCC1	-0.497	-0.598
